"Data saving problem","%s byl úspěšně přídán do košíku."
"Back to Billing Information","Zpět k platebním údajům"
"Back to Select Addresses","Zpět na výběr adres"
"Back to Shopping Cart","Zpět do košíku"
"* Required Fields","* Povinná pole"
"Add New Address","Přidat novou adresu"
"Add New Condition","Přidat novou podmínku"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Address","Adresa"
"Address %s of %s","Adresa <span class=""shipment-count"">%s</span> z %s"
"After adding a product redirect to shopping cart","Po přidání produktu přejít do košíku"
"Allow Guest Checkout","Povolit Guest Checkout"
"Already registered?","Už jste se zaregistrovali?"
"An error occurred in the process of payment","Během placení se vyskytla chyba"
"Apply Coupon","Použít kupón"
"Are you sure you would like to remove this item from the shopping cart?","Určitě chcete tuto položku vyjmout z košíku?"
"Back","Zpět"
"Back to Shipping Information","Zpět k dodacím informacím"
"Based on your selection, you may be interested in the following items:","Na základě Vašeho výběru by Vás mohly zajímat následující položky:"
"Billing Address","Fakturační adresa"
"Billing Information","Platební údaje"
"Billing Information - %s","Platební údaje - %s"
"Can not add item to shopping cart","Položku nelze přidat do košíku"
"Can not apply coupon code.","Kupón nelze použít."
"Can't open overview page","Nelze otevřít stránku s přehledem"
"Cancel Coupon","Zrušit kupón"
"Cannot remove item","Položku nelze odebrat"
"Cannot update shopping cart","Nelze aktualizovat nákupní košík"
"Card Verification Number Visual Reference","Ověřovací číslo karty"
"Cart Subtotal:","Celkem v košíku:"
"Change Billing Address","Změnit fakturační adresu"
"Change Payment Method","Změnit způsob platby"
"Change Shipping Address","Změnit adresu doručení"
"Change Shipping Method","Změnit způsob doručení"
"Checkbox text","Text zaškrtávacího pole"
"Checkout","Platba"
"Checkout Conditions","Pravidla plateb"
"Checkout Options","Možnosti platby"
"Checkout Terms and Conditions","Podmínky platby"
"Checkout as Guest","Zaplatit jako host"
"Checkout as a Guest or Register","Objednat jako host nebo registrovat"
"Checkout method","Způsob platby"
"Checkout with Multiple Addresses","Zaplatit s více adresami"
"City","Město"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klikněte <a href=""%s"" onclick=""this.target='_blank'"">zde pro tisk</a> kopie potvrzení Vaší objednávky."
"Close","Zavřít"
"Company","Společnost"
"Condition Name","Jméno podmínky"
"Condition was successfully deleted","Podmínka byla úspěšně smazána"
"Condition was successfully saved","Podmínka byla úspěšně uložena"
"Configurable product image","Obrázek nastavitelného produktu"
"Confirm Password","Potvrdit heslo"
"Content","Obsah"
"Content Height","Výška obsahu"
"Content Height (css)","Výška obsahu (css)"
"Continue","Pokračovat"
"Continue Shopping","Pokračovat v nákupu"
"Continue to Billing Information","Pokračovat k platebním údajům"
"Continue to Review Your Order","Pokračovat ke kontrole objednávky"
"Continue to Shipping Information","Pokračovat k dodacím údajům"
"Country","Země"
"Coupon code ""%s"" is not valid.","""%s"" kód kupónu není správný."
"Coupon code was applied successfully.","Kód kupónu byl úspěšně aplikován."
"Coupon code was canceled successfully.","Kód kupónu byl úspěšně zrušen."
"Create Billing Address","Vytvořit fakturační adresu"
"Create Shipping Address","Vytvořit dodací adresu"
"Data saving problem","Chyba při ukládání dat"
"Default Billing","Výchozí fakturační"
"Default Shipping","Výchozí dodací"
"Delete Condition","Delete Condition"
"Details","Detaily"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Nepovoleno"
"Discount Codes","Slevové kódy"
"Display Cart Summary","Zobrazit souhrn košíku"
"Display Shopping Cart Sidebar","Zobrazit postranní lištu košíku"
"Display item quantities","Počet různých položek"
"Display number of items in cart","Všechny položky"
"Easy access to your order history and status","Snadný přístup k historii a stavu Vašich objednávek"
"Edit","Upravit"
"Edit Address","Upravit adresu"
"Edit Billing Address","Upravit fakturační adresu"
"Edit Items","Upravit položky"
"Edit Shipping Address","Upravit dodací adresu"
"Edit Terms and Conditions","Upravit podmínky"
"Edit Your Cart","Upravit košík"
"Email Address","E-mailová adresa"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Povoleno"
"Enter a New Address","Zadat novou adresu"
"Enter your coupon code if you have one.","Vložte kód kupónu, pokud ho vlastníte."
"Enter your destination to get a shipping estimate.","Pro odhad poštovného zadejte místo určení."
"Error while deleting this condition. Please try again later.","Nastala chyba při mazání této podmínky. Prosím opakujte později."
"Error while saving this condition. Please try again later.","Nastala chyba při ukládání této podmínky. Prosím opakujte později."
"Estimate Shipping and Tax","Odhad poštovného a daní"
"Excl. Tax","bez daně"
"Fast and easy check out","Rychle a snadné placení"
"Fax","Fax"
"Forgot an Item?","Zapomněli jste na něco?"
"Forgot your password?","Zapomněli jste heslo?"
"Get a Quote","Zeptat se"
"Grand Total:","Celkem:"
"Grouped product image","Obrázek skupiny produktů"
"ID","ID"
"Incl. Tax","s daní"
"Invalid data","Neplatná data"
"Invalid shipping method.","Chybný způsob dodání."
"Items","Položky"
"Load customer quote error","Chyba při nahrávání zákaznických omezení"
"Loading next step...","Nahrávám další krok..."
"Login","Přihlášení"
"Manage Checkout Terms and Conditions","Spravovat podmínky platby"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximální množství povolené pro doručení na více adres je %s"
"Move to Wishlist","Přesunout do seznamu přání"
"My Cart","Můj košík"
"My Cart (%s item)","Košík (položek %s)"
"My Cart (%s items)","Košík (položek: %s)"
"My Cart Link","Odkaz na košík"
"New Address","Nová adresa"
"New Condition","Nová podmínka"
"Order #","Objednávka č. #"
"Order Review","Přehled objednávky"
"Order Success","Úspěšně objednáno"
"Other items in your order","Další položky ve Vaší objednávce"
"Password","Heslo"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Platební údaje"
"Payment Method","Způsob platby"
"Payment method is not defined","Způsob platby není definován"
"Place Order","Objednat"
"Please <a href=""%s"">continue shopping</a>.","Prosím, <a href=""%s"">pokračujte v nákupu</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadejte prosím platné PSČ. Například 12000."
"Please log in below:","Prosím přihlaste se níže:"
"Please select region, state or province","Vyberte prosím oblast, stát nebo provincii"
"Please select shipping address for applicable items","Vyberte prosím doručovací adresu pro použitelné položky"
"Please select shipping methods for all addresses","Vyberte prosím způsob dodání pro všechny adresy"
"Price","Cena"
"Proceed to Checkout","K pokladně"
"Product","Produkt"
"Product Name","Název produktu"
"Product does not exist","Produkt neexistuje"
"Qty","Množství"
"Quote Lifetime (days)","Množstevní limity (v dnech)"
"Recently added item(s)","Nedávno přidané položky"
"Register","Registrovat"
"Register and save time!","Registrujte se a ušetřete čas!"
"Register to Create an Account","Vytvořit účet"
"Register with us for future convenience:","Registrace přináší mnoho výhod:"
"Remove","Odstranit"
"Remove Item","Odstranit položku"
"Remove Product","Odstranit produkt"
"Remove item","Odstranit položku"
"Review Order","Přehled objednávky"
"Review Order - %s","Recenze objednávky - %s"
"Sales","Prodeje"
"Save Condition","Uložit podmínky"
"Save in address book","Ulořit v seznamu adres"
"Select Address","Vybrat adresu"
"Select Addresses","Vybrat adresy"
"Select Shipping Method","Vyberte způsob dodání"
"Select State/Province...","Vyberte stát/provincii..."
"Select a billing address from your address book or enter a new address.","Vyberte z adresáře fakturační adresu nebo <a href=""#"" onclick=""billing.newAddress(true); return false;"">zadejte novou</a>."
"Select a shipping address from your address book or enter a new address.","Vyberte z adresáře dodací adresu nebo zadejte novou."
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Poslat na"
"Ship to Multiple Addresses","Dodat na více adres"
"Ship to different address","Zaslat na jinou adresu"
"Ship to this address","Zaslat na tuto adresu"
"Shipping Address","Dodací adresa"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Shipping Methods","Způsob dodání"
"Shipping method has not been selected yet","Ještě jste nevybrali způsob dodání"
"Shipping selection is not applicable","Vybraný způsob dodání nelze použít"
"Shipping to","Poslat na"
"Shopping Cart","Nákupní košík"
"Shopping Cart Sidebar","Postranní lišta košíku"
"Shopping Cart is Empty","Nákupní košík je prázdný"
"Some of the products you requested are not available in the desired quantity","Některé produkty nejsou k dispozici v požadovaném množství"
"Some of the products you requested are unavailable","Některé požadované produkty nejsou k dispozici"
"Sorry, Onepage Checkout is disabled.","Omlouváme se, jednostránkové vyučtování není povoleno."
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"State/Province","Stát/provincie"
"Status","Stav"
"Store View","Store View"
"Street Address","Ulice"
"Street Address ","Ulice"
"Submitting order information...","Odesílám informace o objednávce..."
"Subtotal","Součet"
"Telephone","Telefon"
"Terms and Conditions Information","Informace o podmínkách"
"Thank you for your purchase!","Děkujeme za Vaší objednávku!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Zde jsou  <a href=""%s""><strong>%s položky</strong></a> z Vašeho košíku."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Zde je <a href=""%s""><strong>jedna položka</strong></a> z Vašeho košíku."
"There is already a customer registered using this email address","Zákazník s tímto e-mailem už existuje"
"There was an error processing your order. Please contact us or try again later.","Chyba při zpracování objednávky. Prosím zkuste opakovat později, nebo nás kontaktujte."
"This condition no longer exists","Tato podmínka již neexistuje"
"Total","Celkem"
"Total for this address","Celkem na tuto adresu"
"Unit Price","Cena za jednotku"
"Update Qty &amp; Addresses","Aktualizovat množství a adresy"
"Update Shopping Cart","Aktualizovat košík"
"Update Total","Aktualizovat součet"
"Use Billing Address","Použít fakturační adresu"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zpracováváme Vaší objednávku a již brzy obdržíte e-mail s jejími detaily.<br/>Jakmile bude odeslána, dostanete další e-mail s odkazem na sledování zásilky."
"You have no items in your shopping cart.","V košíku nejsou žádné položky."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete e-mail s potvrzením objednávky včetně jejích detailů a odkazu na sledování jejího průběhu."
"Your Checkout Progress","Postup platby"
"Your order # is: %s","Číslo Vaší objednávky je: %s"
"Your order # is: <a href=""%s"">%s</a>","Vaše objednávka # je: <a href=""%s"">%s</a>"
"Your order has been received","Vaše objednávka byla obdržena"
"Your order number is ","Číslo Vaší objednávky je "
"Zip/Postal Code","PSČ"
"separate by "",""","odděleno "","""
"Allow Guest Checkout","Povolit platbu hosta"
"Disable Onepage Checkout","Zakázat jednostránkovou platbu"
"Enable Terms and Conditions","Povolit nastavení"
"Maximum display Recently added item(s)","Zobrazit maximálně ""nedávno přidaných položek"""
"Payment Failed Email Reciever","Adresát e-mailu chybně provedené platby"
"Payment Failed Email Sender","Odesilatel e-mailu chybně provedené platby"
"Payment Failed Emails","E-mail chybně provedené platby"
"Payment Failed Template","Šabloba e-mailu chybně provedené platby"
"Send Payment Failed Email Copy Method","Způsob zaslání e-mailu chybně provedené platby"
"Send Payment Failed Email Copy To","Zaslat kopii e-mailu chybně provedené platby"
"Proceed to Checkout","K pokladně"
"%s was successfully added to your shopping cart.","Produkt %s byl úspěšně přidán do košíku."
"Place Order","Objednat"
"Show Content as","Ukázat obsah jako"
"Coupon code ""%s"" was applied successfully.","Kupón s kódem ""%s"" byl úspěšně použit."
